_start,_end,_type,link,status,start_date,end_date,sourceID
215645,53264,intermediary_of,intermediary of,,,,Panama Papers
222156,54441,intermediary_of,intermediary of,,,,Panama Papers
215875,54071,intermediary_of,intermediary of,,,,Panama Papers
215645,53814,intermediary_of,intermediary of,,,,Panama Papers
219120,53729,intermediary_of,intermediary of,,,,Panama Papers
215875,54829,intermediary_of,intermediary of,,,,Panama Papers
222156,54883,intermediary_of,intermediary of,,,,Panama Papers
216897,51157,intermediary_of,intermediary of,,,,Panama Papers
226936,52594,intermediary_of,intermediary of,,,,Panama Papers
228588,52765,intermediary_of,intermediary of,,,,Panama Papers
226056,53558,intermediary_of,intermediary of,,,,Panama Papers
222156,53245,intermediary_of,intermediary of,,,,Panama Papers
216319,54109,intermediary_of,intermediary of,,,,Panama Papers
225286,54110,intermediary_of,intermediary of,,,,Panama Papers
222156,55992,intermediary_of,intermediary of,,,,Panama Papers
222156,56006,intermediary_of,intermediary of,,,,Panama Papers
222156,56007,intermediary_of,intermediary of,,,,Panama Papers
222156,56653,intermediary_of,intermediary of,,,,Panama Papers
